Municipality of residence,People,Average age
09343 Santa Cecilia,105,52.48
08243 Santa Cecília de Voltregà,180,45.94
34167 Santa Cecilia del Alcor,130,53.64
22208 Santa Cilia,200,46.92
49197 Santa Clara de Avedillo,195,54.45
26134 Santa Coloma,120,60.26
08244 Santa Coloma de Cervelló,7890,36.23
17180 Santa Coloma de Farners,12215,38.98
08245 Santa Coloma de Gramenet,119030,40.83
43139 Santa Coloma de Queralt,2970,41.92
24151 Santa Colomba de Curueño,555,56.33
49199 Santa Colomba de las Monjas,295,53.45
24152 Santa Colomba de Somoza,505,52.27
15077 Santa Comba,10075,47.79
17181 Santa Cristina d'Aro,5015,39.47
49200 Santa Cristina de la Polvorosa,1145,47.45
24153 Santa Cristina de Valmadrigal,300,54.1
49201 Santa Croya de Tera,355,55
39073 Santa Cruz de Bezana,12000,38.96
50236 Santa Cruz de Grío,150,65.21
38037 Santa Cruz de la Palma,16475,42.95
09345 Santa Cruz de la Salceda,170,45.74
22209 Santa Cruz de la Serós,195,42.7
10166 Santa Cruz de la Sierra,280,55.21
45156 Santa Cruz de la Zarza,4755,43.23
13076 Santa Cruz de los Cáñamos,595,49.29
04080 Santa Cruz de Marchena,230,50.32
50237 Santa Cruz de Moncayo,130,44.28
16194 Santa Cruz de Moya,285,57.3
13077 Santa Cruz de Mudela,4565,43.62
10167 Santa Cruz de Paniagua,305,55.95
05222 Santa Cruz de Pinares,165,54.88
38038 Santa Cruz de Tenerife,204040,41.53
18174 Santa Cruz del Comercio,580,43.86
45157 Santa Cruz del Retamar,2980,38.95
05221 Santa Cruz del Valle,430,54.13
09346 Santa Cruz del Valle Urbión,100,62
23076 Santa Elena,980,43.08
24154 Santa Elena de Jamuz,1220,50.26
26135 Santa Engracia del Jubera,190,55.19
14061 Santa Eufemia,905,52.63
47152 Santa Eufemia del Arroyo,100,50.94
49202 Santa Eufemia del Barco,215,59.76
07053 Santa Eugènia,1675,40.42
08246 Santa Eugènia de Berga,2260,41.22
44209 Santa Eulalia,1125,49.79
26136 Santa Eulalia Bajera,120,47.43
50238 Santa Eulalia de Gállego,125,59.85
33062 Santa Eulalia de Oscos,505,50.75
08247 Santa Eulàlia de Riuprimer,1195,39.5
08248 Santa Eulàlia de Ronçana,6970,39.54
07054 Santa Eulalia del Río,33695,39.25
18175 Santa Fe,15145,38.76
04081 Santa Fe de Mondújar,465,47.82
08249 Santa Fe del Penedès,380,38.67
09347 Santa Gadea del Cid,160,55.86
09348 Santa Inés,135,53.34
17182 Santa Llogaia d'Àlguema,350,37.94
35022 Santa Lucía de Tirajana,66635,35.69
12102 Santa Magdalena de Pulpis,845,42.19
07055 Santa Margalida,11650,39.62
08250 Santa Margarida de Montbui,9715,39.51
08251 Santa Margarida i els Monjos,7065,36.64
08253 Santa Maria de Besora,155,50.51
39074 Santa María de Cayón,9065,39.74
08254 Santa Maria de Corcó,2160,43.86
22906 Santa María de Dulcis,220,51.11
35023 Santa María de Guía de Gran Canaria,14130,41.49
42167 Santa María de Huerta,345,52.03
28135 Santa María de la Alameda,1205,43.21
24155 Santa María de la Isla,565,57.9
49203 Santa María de la Vega,375,56.7
42168 Santa María de las Hoyas,135,57.24
05226 Santa María de los Caballeros,95,64.47
16196 Santa María de los Llanos,750,48.82
08256 Santa Maria de Martorelles,845,39.07
08255 Santa Maria de Merlès,170,37.63
24158 Santa María de Ordás,355,57.7
08259 Santa Maria de Palautordera,9110,39.39
37293 Santa María de Sando,130,56.52
49204 Santa María de Valverde,85,64.13
05224 Santa María del Arroyo,100,54.12
05225 Santa María del Berrocal,450,53.34
07056 Santa María del Camí,6410,39.41
09350 Santa María del Campo,605,49.8
16195 Santa María del Campo Rus,655,50.15
05902 Santa María del Cubillo,345,51.17
09352 Santa María del Mercadillo,135,61.54
24156 Santa María del Monte de Cea,270,65.08
24157 Santa María del Páramo,3175,44.74
05227 Santa María del Tiétar,575,42.31
08258 Santa Maria d'Oló,1045,44.82
40185 Santa María la Real de Nieva,1115,53.15
09353 Santa María Rivarredonda,90,36.41
24159 Santa Marina del Rey,2090,53.21
06121 Santa Marta,4335,41.24
10168 Santa Marta de Magasca,285,52.46
37294 Santa Marta de Tormes,14490,37.45
45158 Santa Olalla,3410,41.27
21069 Santa Olalla del Cala,2170,41.36
43140 Santa Oliva,3275,39.56
17184 Santa Pau,1595,43.63
08260 Santa Perpètua de Mogoda,25485,37.7
03121 Santa Pola,32325,41.49
08261 Santa Susanna,3325,39.76
38039 Santa Úrsula,14080,39.47
31220 Santacara,920,47.19
14060 Santaella,6125,40
22212 Santaliestra y San Quílez,95,58.89
39075 Santander,177010,44.84
07057 Santanyí,12420,42
24160 Santas Martas,850,52.74
47153 Santervás de Campos,140,60.21
34169 Santervás de la Vega,495,52.64
10169 Santiago de Alcántara,560,53.1
23077 Santiago de Calatrava,820,44.01
15078 Santiago de Compostela,94615,43.4
37296 Santiago de la Puebla,400,56.83
10170 Santiago del Campo,295,52.36
05228 Santiago del Collado,205,59.44
38040 Santiago del Teide,10665,46.35
05904 Santiago del Tormes,155,56.11
24161 Santiago Millas,345,51.8
23904 Santiago-Pontones,3570,46.25
37297 Santibáñez de Béjar,530,48.58
09355 Santibáñez de Esgueva,120,63.8
34171 Santibáñez de la Peña,1195,51.28
37298 Santibáñez de la Sierra,220,57.08
49205 Santibáñez de Tera,400,53.48
47154 Santibáñez de Valcorba,180,51.34
49206 Santibáñez de Vidriales,1115,52.55
10171 Santibáñez el Alto,415,52.38
10172 Santibáñez el Bajo,805,49.22
39076 Santillana del Mar,4185,44.63
41089 Santiponce,8395,37.59
15079 Santiso,1845,52.9
23079 Santisteban del Puerto,4765,40.84
39077 Santiurde de Reinosa,295,54.37
39078 Santiurde de Toranzo,1595,46.45
40189 Santiuste de San Juan Bautista,635,52.4
37299 Santiz,260,50.38
26138 Santo Domingo de la Calzada,6520,42.49
05229 Santo Domingo de las Posadas,90,56.59
09358 Santo Domingo de Silos,270,52.14
45901 Santo Domingo-Caudilla,1055,44.25
23080 Santo Tomé,2530,42.01
05230 Santo Tomé de Zabarcos,110,56.3
40191 Santo Tomé del Puerto,325,49.57
30901 Santomera,15540,36.96
39079 Santoña,11410,43.1
28136 Santorcaz,815,41.98
"28137 Santos de la Humosa, Los",2305,35.13
"06122 Santos de Maimona, Los",8200,40.73
"37300 Santos, Los",670,48.58
49207 Santovenia,300,57.84
24162 Santovenia de la Valdoncina,1955,42.59
47155 Santovenia de Pisuerga,3955,36.17
34174 Santoyo,240,52.21
08192 Santpedor,7085,40.16
26140 Santurde de Rioja,320,48.39
26141 Santurdejo,150,60.99
48082 Santurtzi,47035,44.5
36051 Sanxenxo,17545,42.89
49210 Sanzoles,570,50.8
47157 Sardón de Duero,665,46.92
09361 Sargentes de la Lora,140,59.26
33065 Sariego,1295,47.35
24163 Sariegos,4650,40.59
22213 Sariñena,4365,43.04
39081 Saro,505,49.15
09362 Sarracín,275,42.92
43142 Sarral,1640,42.39
"12103 Serratella, la",100,55.61
32078 Sarreaus,1400,59.74
27057 Sarria,13270,46.67
17186 Sarrià de Ter,4810,40.41
44210 Sarrión,1110,42.43
25201 Sarroca de Bellera,130,50.64
25200 Sarroca de Lleida,410,51.03
31223 Sartaguda,1355,46.9
45159 Sartajada,110,59.03
09363 Sasamón,1140,54.43
50240 Sástago,1265,53.03
10173 Saucedilla,860,39.28
"41090 Saucejo, El",4445,41.39
37302 Saucelle,385,56.79
40192 Sauquillo de Cabezas,215,52.04
"17187 Saus,  Camallera i Llampaies",785,44.03
"38041 Sauzal, El",8890,40.04
"27058 Saviñao, O",4320,54.97
03123 Sax,9885,40.7
29086 Sayalonga,1475,46.83
19252 Sayatón,110,59.67
40193 Sebúlcor,275,47.05
"47158 Seca, La",1090,46.01
22214 Secastilla,115,46.32
"43144 Secuita, La",1600,41.19
46223 Sedaví,10025,40.39
29087 Sedella,670,52.12
50242 Sediles,105,55.56
46224 Segart,190,45.13
12104 Segorbe,9130,42.95
40194 Segovia,54520,43.03
20070 Segura,1425,42.05
23081 Segura de la Sierra,1945,45.44
06124 Segura de León,2070,46.6
10174 Segura de Toro,190,51.84
45160 Segurilla,1325,42.69
22215 Seira,150,55.08
39082 Selaya,2005,45.34
03124 Sella,605,49.79
46225 Sellent,425,47.83
07058 Selva,3700,42.3
"17188 Selva de Mar, La",200,48.39
"43145 Selva del Camp, La",5545,38.67
22217 Sena,535,47.45
24164 Sena de Luna,410,53.85
07047 Sencelles,3070,42.15
04082 Senés,310,54.06
"43044 Sénia, La",5940,41.59
03125 Senija,600,46.2
25202 Senterada,135,45.08
"25035 Sentiu de Sió, La",475,49.49
08267 Sentmenat,8455,37.88
46227 Senyera,1195,38.26
37304 Sepulcro-Hilario,200,59.34
40195 Sepúlveda,1200,48.06
37305 Sequeros,230,51.69
17190 Serinyà,1115,40.24
"28138 Serna del Monte, La",100,46.33
"34175 Serna, La",110,55.65
04083 Serón,2290,46.81
42171 Serón de Nágima,120,54.63
25204 Seròs,1895,43.96
46228 Serra,3340,39.4
17191 Serra de Daró,210,45.64
47159 Serrada,1215,41.24
"05232 Serrada, La",115,52.24
10175 Serradilla,1640,47.27
37306 Serradilla del Arroyo,325,61.19
37307 Serradilla del Llano,185,60.61
05233 Serranillos,275,54.49
28140 Serranillos del Valle,3535,35.74
10176 Serrejón,445,49.13
22220 Sesa,210,55.19
45161 Seseña,18710,32.04
31224 Sesma,1185,47.02
48084 Sestao,28615,45.5
50243 Sestrica,395,52.4
22221 Sesué,120,42.05
17192 Setcases,185,50.92
11034 Setenil de las Bodegas,2895,40.39
19255 Setiles,95,62.53
"25203 Seu d'Urgell, La",12375,41.19
08269 Seva,3420,40.69
41091 Sevilla,696315,41.19
28141 Sevilla la Nueva,8435,33.06
45162 Sevilleja de la Jara,835,58.34
25205 Sidamon,710,42.94
33066 Siero,51775,43.55
10177 Sierra de Fuentes,2055,41.88
50244 Sierra de Luna,285,51.63
29088 Sierra de Yeguas,3520,41.47
12105 Sierra Engarcerán,1050,49.61
04084 Sierro,435,47.85
22222 Siétamo,650,42.31
46229 Siete Aguas,1435,43.4
47160 Siete Iglesias de Trabancos,535,50.75
37310 Sieteiglesias de Tormes,155,45.74
19257 Sigüenza,4485,43.4
50245 Sigüés,125,57.2
23082 Siles,2375,44.37
46230 Silla,18825,40.15
36052 Silleda,9110,47.18
"38042 Silos, Los",4830,44.75
17193 Sils,5600,38.21
47161 Simancas,5330,37.1
46231 Simat de la Valldigna,3525,42.6
46232 Sinarcas,1175,47.47
07060 Sineu,3670,41.89
44213 Singra,85,52.07
05235 Sinlabajos,145,52.77
06125 Siruela,2095,48.96
16198 Sisante,1855,46.71
08270 Sitges,28010,41.62
17052 Siurana,170,42.96
39083 Soba,1320,49.79
27059 Sober,2415,58.69
50247 Sobradiel,955,39.79
37311 Sobradillo,265,57.64
15080 Sobrado,2030,53.64
24165 Sobrado,370,62.75
08271 Sobremunt,90,26.45
33067 Sobrescobio,875,51.99
02072 Socovos,1925,45.46
13078 Socuéllamos,13355,40.97
26143 Sojuela,255,42.29
05236 Solana de Ávila,140,58.64
06126 Solana de los Barros,2755,41.24
05237 Solana de Rioalmar,210,57.75
13080 Solana del Pino,415,55.24
"13079 Solana, La",16010,39.46
19258 Solanillos del Extremo,105,55.93
09366 Solarana,95,57.03
"25206 Soleràs, El",365,49.96
43147 Solivella,655,46.62
46233 Sollana,4915,41.72
07061 Sóller,13780,42.41
39084 Solórzano,1035,46.56
05238 Solosancho,955,48.74
25207 Solsona,9150,40.83
33068 Somiedo,1355,54.65
04085 Somontín,520,47.58
28143 Somosierra,95,41.93
"15081 Somozas, As",1280,50.52
07062 Son Servera,11915,39.1
48904 Sondika,4510,43.48
12106 Soneja,1515,44.49
45163 Sonseca,11425,39.66
22223 Sopeira,110,47.58
48085 Sopelana,12795,39.21
18176 Soportújar,280,48.81
48086 Sopuerta,2460,44.04
08272 Sora,180,43.56
20065 Soraluze/Placencia de las Armas,3975,44.47
04086 Sorbas,2645,44.39
42173 Soria,39845,41.94
25208 Soriguera,360,40.88
37312 Sorihuela,325,50.14
23084 Sorihuela del Guadalimar,1250,43.19
25209 Sort,2255,41.2
18177 Sorvilán,555,50.56
26144 Sorzano,240,50.57
50248 Sos del Rey Católico,650,49.04
25210 Soses,1760,41.86
46234 Sot de Chera,415,50.32
12107 Sot de Ferrer,440,46.17
05239 Sotalbo,250,48.63
26145 Sotés,290,48.39
05240 Sotillo de la Adrada,4740,40.75
09369 Sotillo de la Ribera,540,48.7
45164 Sotillo de las Palomas,210,56.3
42174 Sotillo del Rincón,205,53.01
34177 Soto de Cerrato,190,49.63
24166 Soto de la Vega,1705,50.65
33069 Soto del Barco,4040,49.12
28144 Soto del Real,6560,38.1
26146 Soto en Cameros,145,50.47
24167 Soto y Amío,900,50.68
34176 Sotobañado y Priorato,165,53.52
"22904 Sotonera, La",1030,52.76
16909 Sotorribas,830,50.7
40199 Sotosalbos,135,43.72
37313 Sotoserrano,650,52.3
09372 Sotragero,280,37.55
09373 Sotresgudo,515,54.88
36053 Soutomaior,7275,40.42
39085 Suances,8395,41.93
08273 Subirats,2950,40.99
25211 Sudanell,800,45.71
46235 Sueca,28630,42.11
12108 Sueras/Suera,635,44.74
04087 Suflí,245,46.82
48076 Sukarrieta,350,48.34
46236 Sumacàrcer,1240,45.45
31226 Sunbilla,700,45.62
25212 Sunyer,300,48.19
08274 Súria,6155,44.4
09374 Susinos del Páramo,115,47.6
17194 Susqueda,105,47.87
34178 Tabanera de Cerrato,115,47.21
49214 Tábara,850,52.95
04088 Tabernas,3590,41.78
04089 Taberno,1125,48.69
27060 Taboada,3210,54.61
32079 Taboadela,1640,49.54
50249 Tabuenca,385,54.84
38043 Tacoronte,23615,39.85
31227 Tafalla,11005,42.47
08276 Tagamanent,315,39.77
"18901 Taha, La",750,45.75
04090 Tahal,490,47.23
42177 Tajueco,85,62.14
"37315 Tala, La",100,59.08
08277 Talamanca,155,49.21
28145 Talamanca de Jarama,3120,36.08
25215 Talarn,170,44.66
06127 Talarrubias,3585,44.4
10178 Talaván,895,50.26
25216 Talavera,295,49.14
45165 Talavera de la Reina,86850,39.35
06128 Talavera la Real,5560,40.79
10179 Talaveruela de la Vera,395,50.97
10180 Talayuela,9225,37.01
16202 Talayuelas,1040,50.75
12109 Tales,895,42.54
06129 Táliga,770,44.69
"17195 Tallada d'Empordà, La",450,44.19
42178 Talveila,140,65.92
19262 Tamajón,155,58.82
37316 Tamames,905,48.79
34180 Támara de Campos,90,56.26
22225 Tamarite de Litera,3600,46.09
06130 Tamurejo,250,50.5
"38044 Tanque, El",2815,42.17
33070 Tapia de Casariego,3930,47.42
49216 Tapioles,185,55.9
08278 Taradell,6100,40.86
33071 Taramundi,740,53.34
16203 Tarancón,15525,38.22
50251 Tarazona,10860,42.79
37317 Tarazona de Guareña,355,52.32
02073 Tarazona de la Mancha,6680,41.55
03127 Tàrbena,720,48.94
37318 Tardáguila,245,52.16
09377 Tardajos,795,40.67
42181 Tardelcuende,460,53.82
22226 Tardienta,985,49.48
34181 Tariego de Cerrato,535,45.67
11035 Tarifa,17635,39.75
43148 Tarragona,133025,40.26
25217 Tàrrega,16650,39.28
25218 Tarrés,110,44.51
25219 Tarroja de Segarra,170,49.74
19265 Tartanedo,175,65.49
50252 Tauste,7260,43.78
46237 Tavernes Blanques,9325,40.67
46238 Tavernes de la Valldigna,18015,41.57
08275 Tavèrnoles,310,40.81
08280 Tavertet,140,44.52
38045 Tazacorte,4760,44.03
29089 Teba,4115,41.49
16204 Tébar,380,49.17
38046 Tegueste,10880,40.14
35024 Teguise,20285,37.8
08281 Teià,5940,40.9
"32080 Teixeira, A",425,59.93
16205 Tejadillos,140,50.16
42183 Tejado,135,56.56
"37319 Tejado, El",140,64.76
35025 Tejeda,2135,48.58
10181 Tejeda de Tiétar,865,47.56
35026 Telde,100640,38.01
22227 Tella-Sin,260,54.7
45166 Tembleque,2305,44.52
19266 Tendilla,385,43.98
37321 Tenebrón,175,59.86
15082 Teo,18355,41.3
12110 Teresa,275,54.92
46239 Teresa de Cofrentes,660,54.74
25220 Térmens,1570,45.14
35027 Teror,12845,41
04091 Terque,445,50.06
17196 Terrades,290,44
37322 Terradillos,3355,38.58
09380 Terradillos de Esgueva,100,55.51
08279 Terrassa,213380,39.29
46240 Terrateig,310,44.52
50253 Terrer,475,53.63
44215 Terriente,190,54.44
13081 Terrinches,845,46.74
44216 Teruel,34655,40.58
03128 Teulada,12085,47.29
33072 Teverga,1895,53.3
08282 Tiana,8020,39.12
35028 Tías,19070,39.5
03129 Tibi,1705,43.86
31228 Tiebas-Muruarte de Reta,665,42.56
47163 Tiedra,325,54.79
28146 Tielmes,2480,39.98
"05241 Tiemblo, El",4350,42.57
50254 Tierga,200,53.43
22228 Tierz,710,33.8
38047 Tijarafe,2675,45.77
04092 Tíjola,3765,39.65
16206 Tinajas,275,57.8
35029 Tinajo,5710,37.29
33073 Tineo,10580,49.8
05242 Tiñosillos,810,42.06
26148 Tirgo,225,49.88
12111 Tírig,520,52.6
25221 Tírvia,155,46.25
46241 Titaguas,510,48.72
28147 Titulcia,1195,40.75
43149 Tivenys,915,48.72
43150 Tivissa,1775,46.15
"19269 Toba, La",100,55.64
02074 Tobarra,8175,42.56
50255 Tobed,215,58.17
"45167 Toboso, El",2100,45.24
41092 Tocina,9560,39.48
12112 Todolella,140,43.88
32081 Toén,2560,51.83
12113 Toga,140,47.53
"39086 Tojos, Los",425,49.63
05243 Tolbaños,105,43.78
45168 Toledo,83070,39.14
20071 Tolosa,18240,43.53
29090 Tolox,2290,43.76
22229 Tolva,155,51.24
41093 Tomares,23940,36.11
13082 Tomelloso,37920,38.97
36054 Tomiño,13645,42.62
08283 Tona,7995,39.84
37323 Topas,440,51.25
15083 Toques,1310,50.52
25223 Torà,1290,44.13
24168 Toral de los Guzmanes,560,53.19
24206 Toral de los Vados,2100,49.84
12114 Torás,260,51.15
47164 Tordehumos,460,50.33
19271 Tordellego,60,64.18
08284 Tordera,16075,39.2
47165 Tordesillas,9055,41.44
19272 Tordesilos,120,35.63
37324 Tordillos,420,56.98
15084 Tordoia,3950,52.75
09384 Tordómar,365,49.19
08285 Torelló,13830,41.23
24169 Toreno,3485,48.01
19274 Torija,1600,33.49
10182 Toril,175,39.33
22230 Torla,325,49.68
26150 Tormantos,150,59.2
03131 Tormos,355,53.52
"25224 Torms, Els",170,52.03
25225 Tornabous,915,45.43
"37325 Tornadizo, El",115,56.3
05245 Tornadizos de Ávila,415,41.02
10183 Tornavacas,1170,46.88
"10184 Torno, El",945,50.08
44219 Tornos,225,57.4
49219 Toro,9375,44.63
"12115 Toro, El",285,50.19
34182 Torquemada,1055,46.63
16209 Torralba,155,57.74
22232 Torralba de Aragón,105,51.66
13083 Torralba de Calatrava,3105,43.62
44220 Torralba de los Sisones,175,48.52
45169 Torralba de Oropesa,275,46.85
50257 Torralba de Ribota,205,57.47
31230 Torralba del Río,130,54.8
11036 Torre Alháquime,825,43.73
44223 Torre de Arcas,95,48.46
"25227 Torre de Cabdella, La",750,52.29
"08286 Torre de Claramunt, La",3820,38.37
10187 Torre de Don Miguel,505,49.28
47169 Torre de Esgueva,80,58.31
"45171 Torre de Esteban Hambrán, La",1760,44.35
"43151 Torre de Fontaubella, La",130,52.15
13084 Torre de Juan Abad,1195,48.4
"43152 Torre de l'Espanyol, La",680,45.48
06131 Torre de Miguel Sesmero,1260,42.92
10188 Torre de Santa María,615,47.61
24170 Torre del Bierzo,2455,47.74
23086 Torre del Campo,14650,39.73
44225 Torre del Compte,150,53.13
"49220 Torre del Valle, La",170,55.37
"12119 Torre d'En Besora, la",175,52.75
"12120 Torre d'en Doménec, la",240,57.58
22233 Torre la Ribera,100,44.25
40206 Torre Val de San Pedro,200,48.54
"05247 Torre, La",275,58.95
46242 Torrebaja,445,50.02
25226 Torrebesses,300,48.4
12117 Torreblanca,5710,43.12
23085 Torreblascopedro,2800,42.91
40203 Torrecaballeros,1255,34.4
14062 Torrecampo,1225,49.4
18178 Torre-Cardela,940,47.79
12118 Torrechiva,95,44.73
44221 Torrecilla de Alcañiz,440,51.31
47166 Torrecilla de la Abadesa,315,52.32
45170 Torrecilla de la Jara,280,59
47167 Torrecilla de la Orden,285,53.9
10185 Torrecilla de los Ángeles,630,47.42
40204 Torrecilla del Pinar,215,57.4
44222 Torrecilla del Rebollar,145,59.97
26151 Torrecilla en Cameros,535,51.25
10186 Torrecillas de la Tiesa,1155,46.53
43153 Torredembarra,15190,40.44
23087 Torredonjimeno,14075,41.68
25228 Torrefarrera,4285,36.28
25907 Torrefeta i Florejacs,620,47.91
09387 Torregalindo,135,52.75
49221 Torregamones,305,54.31
25230 Torregrossa,2245,45.74
40205 Torreiglesias,305,49.63
28148 Torrejón de Ardoz,122890,37.45
28149 Torrejón de la Calzada,7480,34.34
28150 Torrejón de Velasco,4125,36.75
19280 Torrejón del Rey,5115,34.05
10190 Torrejón el Rubio,595,46.23
10189 Torrejoncillo,3175,44.24
16211 Torrejoncillo del Rey,490,59.03
44226 Torrelacárcel,200,60.91
28151 Torrelaguna,4675,38.24
25231 Torrelameu,710,45.36
39087 Torrelavega,54530,44.29
08287 Torrelavit,1380,43.54
46243 Torrella,160,46.86
50261 Torrellas,280,55.43
08288 Torrelles de Foix,2385,41.37
08289 Torrelles de Llobregat,5660,36.79
47171 Torrelobatón,495,51.21
28152 Torrelodones,22320,35.97
"03132 Torremanzanas/Torre de les Maçanes, la",740,50.76
06132 Torremayor,1045,43.18
06133 Torremejía,2245,39.39
10191 Torremenga,660,42.63
10192 Torremocha,935,53.38
28153 Torremocha de Jarama,750,37.11
44228 Torremocha de Jiloca,135,56.62
19282 Torremocha del Campo,240,57.95
29901 Torremolinos,66105,40.23
17197 Torrent,190,45.93
46244 Torrent,80125,38.07
22234 Torrente de Cinca,1225,45.42
13085 Torrenueva,2990,42.96
10193 Torreorgaz,1740,41.45
30037 Torre-Pacheco,33415,35.47
23088 Torreperogil,7575,41.16
10194 Torrequemada,590,50.73
23090 Torres,1620,47.68
23091 Torres de Albánchez,950,45.26
44229 Torres de Albarracín,165,48.25
22235 Torres de Alcanadre,105,60.81
22236 Torres de Barbués,295,52.03
50262 Torres de Berrellén,1515,43.54
"30038 Torres de Cotillas, Las",21465,36.61
28154 Torres de la Alameda,7515,35.35
25232 Torres de Segre,2160,44.16
49222 Torres del Carrizal,455,47.03
31231 Torres del Río,145,56.18
46245 Torres Torres,595,45.13
09390 Torresandino,725,51.53
47172 Torrescárcela,175,49.72
25233 Torre-serona,360,46.62
37327 Torresmenudas,210,47.89
44230 Torrevelilla,195,51.77
03133 Torrevieja,89735,44.19
45172 Torrico,860,49.43
50263 Torrijo de la Cañada,280,56.97
44232 Torrijo del Campo,490,52.17
45173 Torrijos,13355,37.68
17198 Torroella de Fluvià,690,40.3
17199 Torroella de Montgrí,11275,40.23
43154 Torroja del Priorat,170,50.66
29091 Torrox,16375,43.87
16212 Torrubia del Campo,310,53.78
17200 Tortellà,780,46.54
19286 Tórtola de Henares,935,37.12
05246 Tórtoles,75,65.26
09391 Tórtoles de Esgueva,480,49.52
43155 Tortosa,34170,41.42
19287 Tortuera,220,47.49
18179 Torvizcón,735,49.42
17201 Toses,155,46.15
50264 Tosos,230,52.14
17202 Tossa de Mar,5790,42.35
29092 Totalán,740,41.74
30039 Totana,30705,38.01
45174 Totanés,420,47.23
15085 Touro,4005,49.7
46246 Tous,1265,44.66
27061 Trabada,1270,52.01
24171 Trabadelo,425,57.03
37328 Trabanca,245,53.34
49223 Trabazos,975,54.01
16215 Tragacete,325,50.51
12121 Traiguera,1585,47.93
44234 Tramacastiel,90,50.98
44235 Tramacastilla,115,51.74
06134 Trasierra,685,44.16
32082 Trasmiras,1530,55.78
50265 Trasmoz,75,47.22
50266 Trasobares,140,63.04
47173 Traspinedo,1070,43.88
15086 Trazo,3405,49.96
11037 Trebujena,7095,39.61
49224 Trefacio,190,54.4
25234 Tremp,6145,42.81
28903 Tres Cantos,40855,36.76
"04901 Tres Villas, Las",660,50.6
40207 Trescasas,935,36.12
16216 Tresjuncos,375,52.49
09394 Trespaderne,975,48.85
18180 Trevélez,800,42.07
26155 Treviana,190,56.9
27062 Triacastela,755,50.51
16217 Tribaldos,120,50.6
26157 Tricio,365,48.52
21070 Trigueros,7775,39.61
47174 Trigueros del Valle,330,48.84
19290 Trijueque,1375,39.27
19291 Trillo,1435,47.83
44236 Tronchón,100,50.37
24172 Truchas,505,57.08
48087 Trucios-Turtzioz,520,47.37
06135 Trujillanos,1450,40.18
10195 Trujillo,9340,42.67
09395 Tubilla del Agua,170,54.91
09396 Tubilla del Lago,160,53.07
39089 Tudanca,165,55.68
31232 Tudela,34800,40.57
47175 Tudela de Duero,8685,38.99
26158 Tudelilla,360,50.41
46247 Tuéjar,1220,49.15
36055 Tui,17050,41.51
35030 Tuineje,13300,36.3
31233 Tulebras,100,51.3
24173 Turcia,1115,52.53
40208 Turégano,1095,47.25
46248 Turís,6610,40.6
45175 Turleque,860,49.98
18181 Turón,290,51.24
04093 Turre,3720,43.95
04094 Turrillas,225,49.83
23092 Úbeda,35490,40.26
48088 Ubide,185,45.18
11038 Ubrique,16835,41.2
31234 Ucar,180,43.15
19293 Uceda,2600,38.24
42189 Ucero,80,44.39
16218 Uclés,240,53.79
39090 Udías,850,43.16
48065 Ugao-Miraballes,4050,43.57
45176 Ugena,5250,33.6
18182 Ugíjar,2620,42.92
31123 Uharte-Arakil,840,43.84
31235 Ujué,205,54.97
30040 Ulea,925,45.52
04095 Uleila del Campo,960,46.16
17204 Ullà,1035,37.91
08290 Ullastrell,1985,38
17205 Ullastret,275,40.68
43156 Ulldecona,7100,41.31
43157 Ulldemolins,430,53.25
17203 Ultramort,205,47.16
31236 Ultzama,1620,42.36
41094 Umbrete,8375,34.76
05249 Umbrías,115,51.64
50267 Uncastillo,690,50.35
31237 Unciti,235,47.31
50268 Undués de Lerda,75,41.14
"47176 Unión de Campos, La",250,59.38
"30041 Unión, La",18965,36.35
31238 Unzué/Untzue,140,51.99
16219 Uña,105,58.08
49225 Uña de Quintana,175,59.62
09398 Úrbel del Castillo,95,51.6
45177 Urda,2955,43.57
31239 Urdazubi/Urdax,375,45.68
31240 Urdiain,695,44.61
24174 Urdiales del Páramo,545,56
48089 Urduliz,3550,40.63
48074 Urduña/Orduña,4190,43.59
01054 Urkabustaiz,1355,39.03
20072 Urnieta,6190,39.35
47177 Urones de Castroponce,115,54.7
04096 Urrácal,335,46.97
31241 Urraul Alto,185,50.18
31242 Urraul Bajo,285,53.21
44237 Urrea de Gaén,515,50.98
50269 Urrea de Jalón,360,45.11
20077 Urretxu,6925,42.79
31244 Urrotz,180,43.38
31243 Urroz-Villa,395,42.15
47178 Urueña,205,51.32
40210 Urueñas,115,46.02
26160 Uruñuela,960,41.31
17206 Urús,205,44.68
31245 Urzainqui/Urzainki,95,59.21
06136 Usagre,1920,44.48
50271 Used,310,54.98
"12122 Useras/Useres, les",980,48.72
20073 Usurbil,6070,40.39
50272 Utebo,18160,36.11
31246 Uterga,190,44.01
46249 Utiel,12200,43.26
41095 Utrera,51500,38.15
44238 Utrillas,3190,41.16
31247 Uztárroz/Uztarroze,170,60.64
08291 Vacarisses,6220,36.31
42190 Vadillo,130,62.43
49226 Vadillo de la Guareña,310,51.56
09400 Vadocondes,385,48.45
24185 Val de San Lorenzo,580,51.96
39095 Val de San Vicente,2805,43.4
15088 Val do Dubra,4220,49.83
"27063 Valadouro, O",2090,50.94
44240 Valbona,205,51.8
47179 Valbuena de Duero,490,49.37
49227 Valcabado,340,45.72
39091 Valdáliga,2315,47.31
28155 Valdaracete,680,41.84
10196 Valdastillas,355,50.07
