Municipality of residence,People,Average age
31013 Améscoa Baja,795,49.39
"43013 Ametlla de Mar, L'",7340,43.27
"08005 Ametlla del Vallès, L'",8110,37.99
09016 Ameyugo,100,44.17
20008 Amezketa,970,44.64
32002 Amoeiro,2285,51.59
48003 Amorebieta-Etxano,18305,42.17
48004 Amoroto,415,44.72
"43906 Ampolla, L'",3340,45.01
43014 Amposta,21240,40.17
34010 Ampudia,625,49.41
39002 Ampuero,4260,42.84
01002 Amurrio,10020,43.64
34011 Amusco,440,51.01
47009 Amusquillo,120,56.51
40017 Anaya,135,49.76
37029 Anaya de Alba,230,53.83
28012 Anchuelo,1165,37.23
13017 Anchuras,325,55.78
31014 Ancín/Antzin,380,43.37
49009 Andavías,485,53.2
46038 Andilla,400,47.77
20009 Andoain,14560,42.89
44025 Andorra,8145,41.93
31015 Andosilla,2910,41.32
07005 Andratx,11235,40.82
23005 Andújar,38560,40.2
50028 Anento,130,47.04
17008 Anglès,5680,41.04
25027 Anglesola,1365,44.89
26013 Anguciana,470,43.74
22027 Angüés,355,45.31
26014 Anguiano,485,55.19
19032 Anguita,215,60.82
09017 Anguix,135,50.95
39003 Anievas,350,51.14
50029 Aniñón,800,51.41
46039 Anna,2625,43.71
20010 Anoeta,1835,39.93
22028 Ansó,460,49.66
31016 Ansoáin/Antsoain,10825,37.07
04016 Antas,3260,41
27003 Antas de Ulla,2205,54.42
46040 Antella,1415,48.94
29015 Antequera,41590,39.53
35003 Antigua,10380,38.28
"24005 Antigua, La",455,59.56
34012 Antigüedad,380,52.66
22029 Antillón,145,52.61
20011 Antzuola,2155,41.4
31017 Anue,435,43.43
01049 Añana,160,49.94
40018 Añe,105,66.42
50030 Añón de Moncayo,200,54.72
14006 Añora,1565,43.74
31018 Añorbe,580,41.01
45014 Añover de Tajo,5375,39.74
37030 Añover de Tormes,100,52.18
31019 Aoiz/Agoitz,2595,39.95
37031 Arabayona de Mógica,435,52.91
21007 Aracena,7745,39.85
38004 Arafo,5510,41.51
22032 Aragüés del Puerto,130,52.45
41011 Arahal,19415,38.36
31020 Araitz,570,47.23
48005 Arakaldo,130,38.61
31025 Arakil,945,45.97
20012 Arama,200,42.96
01003 Aramaio,1505,43.26
31021 Aranarache/Aranaratxe,90,48.28
09018 Aranda de Duero,33045,42
50031 Aranda de Moncayo,195,57.41
50032 Arándiga,390,55.84
09019 Arandilla,175,50.48
15003 Aranga,2070,54.03
31023 Aranguren,7940,34.18
28013 Aranjuez,54935,38.27
31024 Arano,120,41.62
31022 Arantza,645,45.77
48006 Arantzazu,360,42.96
